field_id,field_name,method,n_used,year_min,year_max,status,coordinate_path,figure_path,error_message,random_state
26,Mathematics,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__26__Mathematics/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__26__Mathematics/PHATE.png,,42
26,Mathematics,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__26__Mathematics/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__26__Mathematics/UMAP.png,,42
26,Mathematics,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__26__Mathematics/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__26__Mathematics/t-SNE.png,,42
27,Medicine,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__27__Medicine/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__27__Medicine/PCA.png,,42
27,Medicine,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__27__Medicine/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__27__Medicine/PHATE.png,,42
27,Medicine,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__27__Medicine/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__27__Medicine/UMAP.png,,42
27,Medicine,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__27__Medicine/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__27__Medicine/t-SNE.png,,42
28,Neuroscience,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__28__Neuroscience/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__28__Neuroscience/PCA.png,,42
28,Neuroscience,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__28__Neuroscience/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__28__Neuroscience/PHATE.png,,42
28,Neuroscience,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__28__Neuroscience/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__28__Neuroscience/UMAP.png,,42
28,Neuroscience,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__28__Neuroscience/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__28__Neuroscience/t-SNE.png,,42
29,Nursing,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__29__Nursing/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__29__Nursing/PCA.png,,42
29,Nursing,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__29__Nursing/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__29__Nursing/PHATE.png,,42
29,Nursing,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__29__Nursing/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__29__Nursing/UMAP.png,,42
29,Nursing,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__29__Nursing/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__29__Nursing/t-SNE.png,,42
30,"Pharmacology, Toxicology and Pharmaceutics",PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/PCA.png,,42
30,"Pharmacology, Toxicology and Pharmaceutics",PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/PHATE.png,,42
30,"Pharmacology, Toxicology and Pharmaceutics",UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/UMAP.png,,42
30,"Pharmacology, Toxicology and Pharmaceutics",t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__30__Pharmacology_Toxicology_and_Pharmaceutics/t-SNE.png,,42
31,Physics and Astronomy,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__31__Physics_and_Astronomy/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__31__Physics_and_Astronomy/PCA.png,,42
31,Physics and Astronomy,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__31__Physics_and_Astronomy/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__31__Physics_and_Astronomy/PHATE.png,,42
31,Physics and Astronomy,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__31__Physics_and_Astronomy/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__31__Physics_and_Astronomy/UMAP.png,,42
31,Physics and Astronomy,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__31__Physics_and_Astronomy/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__31__Physics_and_Astronomy/t-SNE.png,,42
32,Psychology,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__32__Psychology/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__32__Psychology/PCA.png,,42
32,Psychology,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__32__Psychology/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__32__Psychology/PHATE.png,,42
32,Psychology,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__32__Psychology/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__32__Psychology/UMAP.png,,42
32,Psychology,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__32__Psychology/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__32__Psychology/t-SNE.png,,42
33,Social Sciences,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__33__Social_Sciences/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__33__Social_Sciences/PCA.png,,42
33,Social Sciences,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__33__Social_Sciences/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__33__Social_Sciences/PHATE.png,,42
33,Social Sciences,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__33__Social_Sciences/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__33__Social_Sciences/UMAP.png,,42
33,Social Sciences,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__33__Social_Sciences/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__33__Social_Sciences/t-SNE.png,,42
34,Veterinary,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__34__Veterinary/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__34__Veterinary/PCA.png,,42
34,Veterinary,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__34__Veterinary/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__34__Veterinary/PHATE.png,,42
34,Veterinary,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__34__Veterinary/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__34__Veterinary/UMAP.png,,42
34,Veterinary,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__34__Veterinary/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__34__Veterinary/t-SNE.png,,42
35,Dentistry,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__35__Dentistry/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__35__Dentistry/PCA.png,,42
35,Dentistry,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__35__Dentistry/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__35__Dentistry/PHATE.png,,42
35,Dentistry,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__35__Dentistry/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__35__Dentistry/UMAP.png,,42
35,Dentistry,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__35__Dentistry/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__35__Dentistry/t-SNE.png,,42
36,Health Professions,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__36__Health_Professions/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__36__Health_Professions/PCA.png,,42
36,Health Professions,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__36__Health_Professions/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__36__Health_Professions/PHATE.png,,42
36,Health Professions,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__36__Health_Professions/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__36__Health_Professions/UMAP.png,,42
36,Health Professions,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__36__Health_Professions/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__36__Health_Professions/t-SNE.png,,42
